Temperature             Resistance
(Kelvin)                (Ohms)

1.20155860125278E+00   2.27244396494078E+04
1.30196817674730E+00   1.87642756295836E+04
1.40297890097182E+00   1.58559958206998E+04
1.60186881909205E+00   1.20031865839185E+04
1.80142511962976E+00   9.56373050531693E+03
2.00610958840511E+00   7.88016036827984E+03
2.20126473008560E+00   6.73970803257538E+03
2.40236702804537E+00   5.86278258822562E+03
2.60330138540125E+00   5.18948946232533E+03
2.80207711399386E+00   4.66408724373305E+03
3.00039846787136E+00   4.23954984759065E+03
3.20110318010903E+00   3.88598213573562E+03
3.40203274294649E+00   3.59089685789814E+03
3.60168105967152E+00   3.34198347160157E+03
3.80412864782245E+00   3.12642724381290E+03
3.99673793886810E+00   2.94767889215046E+03
4.20886007777443E+00   2.77630211742653E+03
4.62918726693990E+00   2.49746710116737E+03
5.03713880806889E+00   2.28076605156422E+03
5.53581787538692E+00   2.06939729070731E+03
6.24952197335916E+00   1.83720150755102E+03
7.06356529348293E+00   1.63848869170011E+03
8.08337874414410E+00   1.45279299445135E+03
9.10572045819314E+00   1.31240575931238E+03
1.01265039278914E+01   1.20222932940564E+03
1.11451648387066E+01   1.11315688959399E+03
1.21535297112368E+01   1.03977141128918E+03
1.31549304228232E+01   9.77862043518916E+02
1.41503304788505E+01   9.24782813006989E+02
1.51394063248216E+01   8.78612393195622E+02
1.61268779746230E+01   8.37745819328271E+02
1.71064289791634E+01   8.01581691682338E+02
1.80855700023613E+01   7.68900617232288E+02
1.90640743144356E+01   7.39246537629167E+02
2.00442793439568E+01   7.12058693826475E+02
2.11255289499661E+01   6.84741951368352E+02
2.27117606182326E+01   6.48701728312635E+02
2.43017627331350E+01   6.16598871282407E+02
2.58890359426349E+01   5.87957670955915E+02
2.74859092087630E+01   5.61966159827341E+02
2.90810586946243E+01   5.38397714067012E+02
3.08897865584672E+01   5.14141916942589E+02
3.29857545432517E+01   4.88868609851927E+02
3.59844679013948E+01   4.56991456517124E+02
3.89773655794014E+01   4.29335114576957E+02
4.19797204476851E+01   4.04986473231652E+02
4.49760169852947E+01   3.83396853677657E+02
4.79825189726589E+01   3.64131758586271E+02
4.99776541184113E+01   3.52430111504933E+02
5.49858669089826E+01   3.26268387869106E+02
5.99852676258303E+01   3.03953622560479E+02
6.49801861365508E+01   2.84636285059182E+02
6.99898021379983E+01   2.67693315683711E+02
7.49865203485361E+01   2.52749857427018E+02
7.99818989958719E+01   2.39444333135778E+02
8.49800282621633E+01   2.27479981957658E+02
8.99801525537218E+01   2.16687096725592E+02
9.49777862620228E+01   2.06924621556267E+02
9.99797291315357E+01   1.97979031587156E+02
1.09985685072962E+02   1.82236059644889E+02
1.19977975612270E+02   1.68810702795605E+02
1.29977098179975E+02   1.57223039369637E+02
1.39984472070621E+02   1.47085906715458E+02
1.49985568391660E+02   1.38173998843288E+02
1.59985241025615E+02   1.30271016408443E+02
1.69982028253465E+02   1.23210471512754E+02
1.79981862726889E+02   1.16871402833831E+02
1.89982125133374E+02   1.11150768001942E+02
1.99981661609322E+02   1.05969289419043E+02
2.09979820196481E+02   1.01261707611000E+02
2.19972835241499E+02   9.69593716818997E+01
2.29980812587474E+02   9.30149455105677E+01
2.39987985110735E+02   8.93857643689548E+01
2.49984853973707E+02   8.60521289201347E+01
2.59971518249391E+02   8.29728905231048E+01
2.69986606030272E+02   8.01096530408083E+01
2.79990615793560E+02   7.74566469058769E+01
2.89980277396081E+02   7.49972052133213E+01
2.99998151233003E+02   7.26917356789653E+01
3.10000570278048E+02   7.05488340998533E+01
3.15011435239498E+02   6.95204215691163E+01
3.20009637235371E+02   6.85338039979039E+01
3.26005137650191E+02   6.73917406924254E+01
3.29993756604006E+02   6.66570709412734E+01
