Temp.     Resistance      Sensitivity     Dimensionless
(Kelvin)  (Ohms)          (Ohms/Kelvin)   Sensitivity

   1.400   1.590485E+04   -2.548822E+04   -2.2436E+00
   1.500   1.370097E+04   -1.905470E+04   -2.0861E+00
   1.600   1.201839E+04   -1.490267E+04   -1.9840E+00
   1.700   1.067790E+04   -1.204220E+04   -1.9172E+00
   1.800   9.586739E+03   -9.880696E+03   -1.8552E+00
   1.900   8.685160E+03   -8.219134E+03   -1.7981E+00
   2.000   7.930938E+03   -6.917792E+03   -1.7445E+00
   2.100   7.292664E+03   -5.884753E+03   -1.6946E+00
   2.200   6.747385E+03   -5.050259E+03   -1.6466E+00
   2.300   6.277455E+03   -4.370809E+03   -1.6014E+00
   2.400   5.869167E+03   -3.813254E+03   -1.5593E+00
   2.500   5.511607E+03   -3.351788E+03   -1.5203E+00
   2.600   5.196283E+03   -2.966216E+03   -1.4842E+00
   2.700   4.916331E+03   -2.641709E+03   -1.4508E+00
   2.800   4.666306E+03   -2.366304E+03   -1.4199E+00
   2.900   4.441736E+03   -2.130981E+03   -1.3913E+00
   3.000   4.239020E+03   -1.928385E+03   -1.3647E+00
   3.100   4.055157E+03   -1.752898E+03   -1.3400E+00
   3.200   3.887692E+03   -1.599905E+03   -1.3169E+00
   3.300   3.734546E+03   -1.465830E+03   -1.2953E+00
   3.400   3.593996E+03   -1.347647E+03   -1.2749E+00
   3.500   3.464564E+03   -1.243024E+03   -1.2557E+00
   3.600   3.345007E+03   -1.149931E+03   -1.2376E+00
   3.700   3.234246E+03   -1.066792E+03   -1.2204E+00
   3.800   3.131364E+03   -9.922137E+02   -1.2041E+00
   3.900   3.035554E+03   -9.251065E+02   -1.1886E+00
   4.000   2.946127E+03   -8.644738E+02   -1.1737E+00
   4.200   2.784047E+03   -7.596966E+02   -1.1461E+00
   4.400   2.641066E+03   -6.726431E+02   -1.1206E+00
   4.600   2.514059E+03   -5.995721E+02   -1.0970E+00
   4.800   2.400476E+03   -5.378698E+02   -1.0755E+00
   5.000   2.298316E+03   -4.851153E+02   -1.0554E+00
   5.200   2.205930E+03   -4.398190E+02   -1.0368E+00
   5.400   2.121989E+03   -4.005277E+02   -1.0193E+00
   5.600   2.045370E+03   -3.664538E+02   -1.0033E+00
   5.800   1.975137E+03   -3.364965E+02   -9.8812E-01
   6.000   1.910538E+03   -3.100469E+02   -9.7370E-01
   6.500   1.769538E+03   -2.565677E+02   -9.4244E-01
   7.000   1.651855E+03   -2.160068E+02   -9.1536E-01
   7.500   1.551983E+03   -1.846884E+02   -8.9251E-01
   8.000   1.466087E+03   -1.598682E+02   -8.7235E-01
   8.500   1.391277E+03   -1.400315E+02   -8.5552E-01
   9.000   1.325462E+03   -1.237731E+02   -8.4043E-01
   9.500   1.267023E+03   -1.103778E+02   -8.2760E-01
  10.000   1.214728E+03   -9.913280E+01   -8.1609E-01
  10.500   1.167593E+03   -8.965544E+01   -8.0626E-01
  11.000   1.124848E+03   -8.153400E+01   -7.9733E-01
  11.500   1.085866E+03   -7.456083E+01   -7.8965E-01
  12.000   1.050133E+03   -6.851397E+01   -7.8292E-01
  12.500   1.017221E+03   -6.323904E+01   -7.7711E-01
  13.000   9.868023E+02   -5.852272E+01   -7.7097E-01
  13.500   9.586121E+02   -5.433425E+01   -7.6518E-01
  14.000   9.323719E+02   -5.071836E+01   -7.6156E-01
  14.500   9.078135E+02   -4.756596E+01   -7.5974E-01
  15.000   8.847656E+02   -4.466356E+01   -7.5721E-01
  15.500   8.631112E+02   -4.199856E+01   -7.5422E-01
  16.000   8.427224E+02   -3.959994E+01   -7.5185E-01
  16.500   8.234716E+02   -3.743653E+01   -7.5012E-01
  17.000   8.052548E+02   -3.546056E+01   -7.4862E-01
  17.500   7.879827E+02   -3.365388E+01   -7.4741E-01
  18.000   7.715757E+02   -3.199830E+01   -7.4648E-01
  18.500   7.559617E+02   -3.047837E+01   -7.4587E-01
  19.000   7.410777E+02   -2.907642E+01   -7.4547E-01
  19.500   7.268674E+02   -2.778117E+01   -7.4530E-01
  20.000   7.132808E+02   -2.658059E+01   -7.4530E-01
  21.000   6.878022E+02   -2.442788E+01   -7.4583E-01
  22.000   6.643319E+02   -2.255358E+01   -7.4688E-01
  23.000   6.426181E+02   -2.090949E+01   -7.4837E-01
  24.000   6.224503E+02   -1.945505E+01   -7.5013E-01
  25.000   6.036539E+02   -1.816197E+01   -7.5217E-01
  26.000   5.860814E+02   -1.700432E+01   -7.5435E-01
  27.000   5.696068E+02   -1.596258E+01   -7.5664E-01
  28.000   5.541226E+02   -1.502134E+01   -7.5903E-01
  29.000   5.395355E+02   -1.416645E+01   -7.6145E-01
  30.000   5.257644E+02   -1.338742E+01   -7.6388E-01
  31.000   5.127386E+02   -1.267485E+01   -7.6632E-01
  32.000   5.003953E+02   -1.202082E+01   -7.6872E-01
  33.000   4.886795E+02   -1.141913E+01   -7.7112E-01
  34.000   4.775416E+02   -1.086364E+01   -7.7347E-01
  35.000   4.669386E+02   -1.034899E+01   -7.7572E-01
  36.000   4.568310E+02   -9.872330E+00   -7.7798E-01
  37.000   4.471827E+02   -9.429340E+00   -7.8019E-01
  38.000   4.379624E+02   -9.016197E+00   -7.8229E-01
  39.000   4.291410E+02   -8.630988E+00   -7.8438E-01
  40.000   4.206920E+02   -8.270855E+00   -7.8640E-01
  42.000   4.048184E+02   -7.616920E+00   -7.9026E-01
  44.000   3.901731E+02   -7.040006E+00   -7.9390E-01
  46.000   3.766147E+02   -6.528336E+00   -7.9738E-01
  48.000   3.640232E+02   -6.071828E+00   -8.0063E-01
  50.000   3.522954E+02   -5.663361E+00   -8.0378E-01
  52.000   3.413426E+02   -5.295707E+00   -8.0675E-01
  54.000   3.310889E+02   -4.963566E+00   -8.0955E-01
  56.000   3.214669E+02   -4.663301E+00   -8.1235E-01
  58.000   3.124179E+02   -4.389969E+00   -8.1499E-01
  60.000   3.038909E+02   -4.140927E+00   -8.1758E-01
  65.000   2.845698E+02   -3.606764E+00   -8.2384E-01
  70.000   2.676566E+02   -3.172832E+00   -8.2979E-01
  75.000   2.527111E+02   -2.817257E+00   -8.3611E-01
  77.350   2.462637E+02   -2.671596E+00   -8.3913E-01
  80.000   2.393885E+02   -2.519274E+00   -8.4190E-01
  85.000   2.274432E+02   -2.266338E+00   -8.4697E-01
  90.000   2.166607E+02   -2.052152E+00   -8.5246E-01
  95.000   2.068716E+02   -1.868073E+00   -8.5786E-01
 100.000   1.979385E+02   -1.708908E+00   -8.6335E-01
 105.000   1.897489E+02   -1.569932E+00   -8.6874E-01
 110.000   1.822110E+02   -1.447861E+00   -8.7407E-01
 115.000   1.752467E+02   -1.339957E+00   -8.7930E-01
 120.000   1.687917E+02   -1.243916E+00   -8.8434E-01
 125.000   1.627907E+02   -1.158023E+00   -8.8920E-01
 130.000   1.571970E+02   -1.080814E+00   -8.9382E-01
 135.000   1.519700E+02   -1.011123E+00   -8.9821E-01
 140.000   1.470749E+02   -9.479469E-01   -9.0235E-01
 145.000   1.424810E+02   -8.904821E-01   -9.0623E-01
 150.000   1.381617E+02   -8.380263E-01   -9.0983E-01
 155.000   1.340934E+02   -7.900050E-01   -9.1318E-01
 160.000   1.302552E+02   -7.459113E-01   -9.1625E-01
 165.000   1.266284E+02   -7.053239E-01   -9.1905E-01
 170.000   1.231967E+02   -6.678687E-01   -9.2160E-01
 175.000   1.199450E+02   -6.332296E-01   -9.2388E-01
 180.000   1.168602E+02   -6.011242E-01   -9.2591E-01
 185.000   1.139300E+02   -5.713111E-01   -9.2770E-01
 190.000   1.111436E+02   -5.435731E-01   -9.2924E-01
 195.000   1.084911E+02   -5.177227E-01   -9.3055E-01
 200.000   1.059635E+02   -4.935905E-01   -9.3162E-01
 205.000   1.035526E+02   -4.710286E-01   -9.3248E-01
 210.000   1.012508E+02   -4.499028E-01   -9.3312E-01
 215.000   9.905137E+01   -4.300952E-01   -9.3356E-01
 220.000   9.694787E+01   -4.114983E-01   -9.3380E-01
 225.000   9.493453E+01   -3.940170E-01   -9.3384E-01
 230.000   9.300599E+01   -3.775642E-01   -9.3370E-01
 235.000   9.115730E+01   -3.620623E-01   -9.3338E-01
 240.000   8.938390E+01   -3.474401E-01   -9.3289E-01
 245.000   8.768154E+01   -3.336340E-01   -9.3224E-01
 250.000   8.604630E+01   -3.205850E-01   -9.3143E-01
 255.000   8.447452E+01   -3.082404E-01   -9.3047E-01
 260.000   8.296280E+01   -2.965514E-01   -9.2937E-01
 265.000   8.150798E+01   -2.854736E-01   -9.2814E-01
 270.000   8.010711E+01   -2.749664E-01   -9.2677E-01
 273.150   7.925101E+01   -2.686232E-01   -9.2585E-01
 275.000   7.875743E+01   -2.649924E-01   -9.2528E-01
 280.000   7.745636E+01   -2.555172E-01   -9.2368E-01
 285.000   7.620148E+01   -2.465094E-01   -9.2197E-01
 290.000   7.499053E+01   -2.379397E-01   -9.2015E-01
 295.000   7.382140E+01   -2.297812E-01   -9.1824E-01
 300.000   7.269208E+01   -2.220091E-01   -9.1623E-01
 305.000   7.160070E+01   -2.146003E-01   -9.1414E-01
 310.000   7.054551E+01   -2.075333E-01   -9.1197E-01
 315.000   6.952483E+01   -2.007888E-01   -9.0973E-01
 320.000   6.853711E+01   -1.943479E-01   -9.0741E-01
 325.000   6.758087E+01   -1.881934E-01   -9.0503E-01
