Temperature             Resistance
(Kelvin)                (Ohms)

1.81241825649049E+01   8.81898994574882E+03
1.91006975138487E+01   8.09735020183236E+03
2.00798121617948E+01   7.46821759101965E+03
2.11642511672058E+01   6.86202250434106E+03
2.27418083954992E+01   6.11553977875526E+03
2.43689492218433E+01   5.47711470299287E+03
2.60424853077193E+01   4.92798854569882E+03
2.77095144822955E+01   4.46663721884999E+03
2.93640830271064E+01   4.07495331965412E+03
3.12171507164154E+01   3.69896923507120E+03
3.33607806426871E+01   3.33083642229864E+03
3.63714639130328E+01   2.90592877017557E+03
3.93818343052215E+01   2.56339669882782E+03
4.23694722545804E+01   2.28442759406715E+03
4.53634360646082E+01   2.05143972596506E+03
4.83587197108364E+01   1.85480780411940E+03
5.03449980639000E+01   1.74092255773692E+03
5.53428082679712E+01   1.49972449117117E+03
6.03363050033917E+01   1.30894428047716E+03
6.53287512563951E+01   1.15485941587314E+03
7.03249279171006E+01   1.02834052006862E+03
7.53161921386162E+01   9.23023758021850E+02
8.03039873153654E+01   8.34373133326362E+02
8.52977992597927E+01   7.58670849596366E+02
9.02830601923460E+01   6.93604591082826E+02
9.52798190791694E+01   6.37128383203154E+02
1.00279509300752E+02   5.87679621237631E+02
1.10274410505770E+02   5.05753002117223E+02
1.20267421641967E+02   4.40887889708793E+02
1.30257520090315E+02   3.88562412463273E+02
1.40247327983144E+02   3.45624915822827E+02
1.50240970394846E+02   3.09893461075615E+02
1.60244296867498E+02   2.79790201943380E+02
1.70244701399955E+02   2.54228994896203E+02
1.80245838019298E+02   2.32292141710781E+02
1.90241777142926E+02   2.13345287587936E+02
2.00238614994718E+02   1.96839622300984E+02
2.10251148116971E+02   1.82352193161403E+02
2.20245046155126E+02   1.69610351524341E+02
2.30232022916345E+02   1.58306772884587E+02
2.40237223003248E+02   1.48236511832765E+02
2.50234119871331E+02   1.39231597409766E+02
2.60225632567543E+02   1.31135341168900E+02
2.70232642715677E+02   1.23826444280117E+02
2.80234316320341E+02   1.17224089713384E+02
2.90248706996991E+02   1.11210031803801E+02
3.00258369406345E+02   1.05729993383151E+02
3.10260529845598E+02   1.00732534378383E+02
3.15264405716966E+02   9.84003249911379E+01
3.20258545533464E+02   9.61566596022530E+01
3.26255564874500E+02   9.35936756701488E+01
3.30273295315685E+02   9.19419102750351E+01
