authors,year,fluid,p/psia,p/atm,p/MPa,T/degC,T/F,T/K,x1,x2,uJT_meas/(K/MPa),uJT_meas/(F/psi),uJT_meas/(degC/atm),rel_err
Tkaczuk,2021,helium-neon,,,1.943799973,,,79.1587677,0.466873207,0.533126793,0.778638443699864,,,0.024227522356973
Tkaczuk,2021,helium-neon,,,4.001399994,,,79.25732422,0.466660881,0.533339119,0.620196237461568,,,0.088191505253035
Tkaczuk,2021,helium-neon,,,8.152199936,,,64.4666748,0.314509602,0.685490398,0.990325767331315,,,-0.052717950348795
Tkaczuk,2021,helium-neon,,,5.967166742,,,62.02532959,0.306777401,0.693222599,1.30090198711886,,,0.001213345617123
Tkaczuk,2021,helium-neon,,,3.975699997,,,59.168396,0.302913208,0.697086792,1.58396506148913,,,0.095037498265877
Tkaczuk,2021,helium-neon,,,6.036999893,,,79.88356781,0.327704811,0.672295189,0.886368142718616,,,-0.014731570878025
Tkaczuk,2021,helium-neon,,,3.975099945,,,78.01207733,0.327518387,0.672481613,0.994312103968215,,,0.088268981270878
Tkaczuk,2021,helium-neon,,,2.091350079,,,61.97766876,0.327823792,0.672176208,1.81812345791639,,,-0.011282741003117
Tkaczuk,2021,helium-neon,,,3.135400009,,,64.08061981,0.399278603,0.600721397,1.44907502273315,,,-0.086668624061766
Tkaczuk,2021,helium-neon,,,2.072699928,,,62.58144379,0.399449196,0.600550804,1.50033870635322,,,-0.011049886898022
Tkaczuk,2021,helium-neon,,,4.964900017,,,64.01760101,0.390310516,0.609689484,1.25496037679613,,,-0.083617504878065
Tkaczuk,2021,helium-neon,,,4.055400085,,,62.85807037,0.386892815,0.613107185,1.31196219763753,,,-0.012263292145255
Tkaczuk,2021,helium-neon,,,3.070700073,,,61.49729919,0.379854698,0.620145302,1.37367709358384,,,0.063967049989442
Tkaczuk,2021,helium-neon,,,3.109225035,,,63.12421417,0.215492096,0.784507904,2.24174202618249,,,-0.070087631737287
Tkaczuk,2021,helium-neon,,,2.044149971,,,60.68468857,0.215371094,0.784628906,2.47112697377695,,,-0.038863286186581
Tkaczuk,2021,helium-neon,,,1.033400011,,,58.11508179,0.215444508,0.784555492,2.68881193744043,,,-0.01002821694786
Tkaczuk,2021,helium-neon,,,5.386174965,,,63.9445076,0.209634399,0.790365601,1.66880200962898,,,-0.008136224077193
Tkaczuk,2021,helium-neon,,,4.028900146,,,61.42861938,0.214998207,0.785001793,2.04897659015281,,,-0.016872395558999
Tkaczuk,2021,helium-neon,,,3.272700119,,,59.8692894,0.215658703,0.784341297,2.26078927836628,,,-0.009591057535145
Tkaczuk,2021,helium-neon,,,1.984300041,,,56.83626175,0.215767803,0.784232197,2.62167194733188,,,0.012240414625929
Tkaczuk,2021,helium-neon,,,1.003100014,,,54.13127899,0.215843201,0.784156799,2.89650745113171,,,0.032184058641603
Tkaczuk,2021,helium-nitrogen,,,5.05929985,,,149.3185425,0.1453545,0.8546455,4.57535214182875,,,0.007018629624046
Tkaczuk,2021,helium-nitrogen,,,2.991799927,,,138.3912659,0.145634203,0.854365797,6.12131072696026,,,0.00358260430826
Tkaczuk,2021,helium-nitrogen,,,1.943700027,,,131.4246979,0.145519104,0.854480896,7.1524268536442,,,-0.012853422670109
Tkaczuk,2021,helium-nitrogen,,,2.013899994,,,146.4505005,0.144916096,0.855083904,5.86975592897896,,,-0.007172780686322
Tkaczuk,2021,helium-nitrogen,,,3.006200027,,,129.3087616,0.145136299,0.854863701,7.13576431244268,,,-0.02983669851192
Tkaczuk,2021,helium-nitrogen,,,2.005900002,,,121.5911865,0.144958696,0.855041304,8.42629767324966,,,-0.034035787334356
Tkaczuk,2021,helium-nitrogen,,,3.276900101,,,137.325943,0.502580185,0.497419815,2.33614664661948,,,-0.147926415758211
Tkaczuk,2021,helium-nitrogen,,,2.009799957,,,134.9553375,0.5026828,0.4973172,2.33614664661948,,,-0.037824050493652
Tkaczuk,2021,helium-nitrogen,,,5.979199982,,,137.6961823,0.502659607,0.497340393,1.84702919781204,,,-0.150641362407132
Tkaczuk,2021,helium-nitrogen,,,5.00890007,,,135.8578796,0.502691803,0.497308197,2.01506169844332,,,-0.131959865003563
Tkaczuk,2021,helium-nitrogen,,,4.007300186,,,133.8177643,0.502790489,0.497209511,2.18851459796345,,,-0.108084004850311
Tkaczuk,2021,helium-nitrogen,,,2.018499947,,,129.152832,0.503011208,0.496988792,2.53292674649848,,,-0.050640969780929
