date/yyyy-mm-dd,time/hh:mm:ss,PT102/MPa,PT101/MPa,TT009/K,TT010/K,TT008/K,TT101/K,RT101/ohm,TT102/K,RT102/ohm,x1,x2,impurity,err(x)
2020-11-27,13:20:00,2.000200081,9.008000183,163.8123474,149.4329987,161.1486206,160.0036316,277.5667725,116.774498,172.8988342,0,0,0.00055344,0.000179408
2020-11-27,13:20:01,2.0,9.008300018,163.8123474,149.4394379,161.1499023,160.0038147,277.5663452,116.7746353,172.8986206,0,0,0.00055344,0.000179408
2020-11-27,13:20:02,2.000300026,9.008599854,163.8123474,149.4459991,161.1492004,160.0033569,277.5675964,116.7737579,172.899704,0,0,0.00055344,0.000179408
2020-11-27,13:20:03,2.000099945,9.008899689,163.8123474,149.4517975,161.1494446,160.0037079,277.5665894,116.7733231,172.9002838,0,0,0.00055344,0.000179408
2020-11-27,13:20:04,2.000300026,9.008999634,163.8123474,149.4573975,161.1482849,160.0035706,277.5668335,116.7726746,172.9012146,0,0,0.00055344,0.000179408
2020-11-27,13:20:05,2.000099945,9.009300232,163.8123474,149.464035,161.149704,160.0036316,277.5670471,116.7719345,172.9020996,0,0,0.00055344,0.00017914
2020-11-27,13:20:06,2.000200081,9.009500122,163.8123474,149.4710083,161.150238,160.003418,277.5674438,116.7717285,172.9023285,0,0,0.000580627,0.00017914
2020-11-27,13:20:07,2.000099945,9.009700012,163.8123474,149.4767456,161.1499329,160.0040894,277.5655823,116.7715073,172.90271,0,0,0.000580627,0.00017914
2020-11-27,13:20:08,2.000200081,9.009999847,163.8123474,149.483139,161.1500854,160.0039215,277.5659485,116.7709274,172.9034729,0,0,0.000580627,0.00017914
2020-11-27,13:20:09,2.000099945,9.010099792,163.8123474,149.4903717,161.1494751,160.0036316,277.5667114,116.7705612,172.9039612,0,0,0.000580627,0.00017914
2020-11-27,13:20:10,2.000300026,9.010299683,163.8123474,149.4955139,161.1511383,160.0039215,277.5661011,116.7701187,172.9044952,0,0,0.000580627,0.00017914
2020-11-27,13:20:11,1.999900055,9.010500336,163.8133698,149.5036774,161.1497192,160.0042572,277.5651855,116.76931,172.9055176,0,0,0.000580627,0.00017914
2020-11-27,13:20:12,2.000099945,9.010600281,163.8133698,149.5102692,161.1488037,160.0039673,277.5658569,116.7687378,172.9063721,0,0,0.000580627,0.00017914
2020-11-27,13:20:13,1.999900055,9.010800171,163.8133698,149.516571,161.1491852,160.0038757,277.5662537,116.768364,172.9067688,0,0,0.000580627,0.00017914
2020-11-27,13:20:14,2.000200081,9.010900116,163.8133698,149.5231018,161.1499023,160.0043182,277.5649414,116.7677155,172.9076385,0,0,0.000535694,0.00017914
2020-11-27,13:20:15,1.999900055,9.011100006,163.8133698,149.5297089,161.1487274,160.0046844,277.5638428,116.7672043,172.9082794,0,0,0.000535694,0.00017914
2020-11-27,13:20:16,2.000399971,9.011199951,163.8133698,149.5367889,161.1499176,160.0042114,277.5652771,116.7674255,172.9079895,0,0,0.000535694,0.00017914
2020-11-27,13:20:17,2.000200081,9.011299896,163.8123627,149.5431976,161.1493225,160.004364,277.5646973,116.7663345,172.9094849,0,0,0.000535694,0.00017914
