date/yyyy-mm-dd,time/hh:mm:ss,PT102/MPa,PT101/MPa,TT009/K,TT010/K,TT008/K,TT101/K,RT101/ohm,TT102/K,RT102/ohm,Q008/W,x1,x2,impurity,err(x)
2021-01-12,16:40:28,2.021699905,7.023999786,69.21723175,96.83843231,64.75149536,64.98160553,1153.421753,67.59542847,275.5232544,68.62007904,0.995003128,0.00499689,0.015246106,0.000198456
2021-01-12,16:40:29,2.02140007,7.023200226,69.21723175,96.83691406,64.7505188,64.98149872,1153.425171,67.59457397,275.5259399,68.62007904,0.995003128,0.00499689,0.015246106,0.000198456
2021-01-12,16:40:30,2.021199989,7.022499847,69.21622467,96.83470917,64.75174713,64.98097229,1153.439575,67.59449005,275.5263977,68.62007904,0.995003128,0.00499689,0.015246106,0.000198456
2021-01-12,16:40:31,2.021500015,7.021499634,69.21622467,96.83403778,64.75050354,64.98075104,1153.446045,67.59409332,275.52771,68.62007904,0.995003128,0.00499689,0.015246106,0.000198456
2021-01-12,16:40:32,2.021199989,7.020600128,69.21622467,96.83114624,64.75102234,64.98081207,1153.444214,67.59342194,275.5298767,68.62007904,0.995003128,0.00499689,0.015246106,0.000198456
2021-01-12,16:40:33,2.021299934,7.019799805,69.21622467,96.82845306,64.75169373,64.98040771,1153.455811,67.59319305,275.5307617,68.62007904,0.995003128,0.00499689,0.015246106,0.000198456
2021-01-12,16:40:34,2.020999908,7.019200134,69.21514893,96.82712555,64.74944305,64.98017883,1153.461792,67.59337616,275.5302429,68.51095581,0.995003128,0.00499689,0.015246106,0.000198456
2021-01-12,16:40:35,2.02140007,7.018800354,69.21514893,96.82507324,64.75088501,64.98006439,1153.46521,67.59269714,275.5323792,68.51095581,0.995003128,0.00499689,0.015246106,0.000198456
2021-01-12,16:40:36,2.020999908,7.019400024,69.21414185,96.82268524,64.75,64.9802475,1153.459595,67.5927887,275.5321655,68.51095581,0.995003128,0.00499689,0.0,0.000198456
2021-01-12,16:40:37,2.020700073,7.017700195,69.21414185,96.82085419,64.75134277,64.97943115,1153.483032,67.59211731,275.5343628,68.51095581,0.995003128,0.00499689,0.0,0.000198456
2021-01-12,16:40:38,2.020800018,7.016999817,69.21414185,96.8180542,64.75093842,64.97905731,1153.493652,67.5919342,275.5350037,68.51095581,0.995003128,0.00499689,0.0,0.000198456
2021-01-12,16:40:39,2.020400047,7.016000366,69.21414185,96.81536865,64.75075531,64.97918701,1153.489868,67.59148407,275.536438,68.61309052,0.995003128,0.00499689,0.0,0.000198456
2021-01-12,16:40:40,2.020700073,7.014900208,69.21414185,96.81321716,64.75019073,64.97931671,1153.486084,67.59111786,275.5376587,68.61309052,0.995003128,0.00499689,0.0,0.000198456
2021-01-12,16:40:41,2.020400047,7.013999939,69.21308136,96.81137848,64.75073242,64.97888947,1153.498291,67.59091187,275.5383911,68.61309052,0.995003128,0.00499689,0.0,0.000198456
2021-01-12,16:40:42,2.020700073,7.012599945,69.21308136,96.80922699,64.75111389,64.978508,1153.508789,67.59081268,275.5386658,68.61309052,0.995003128,0.00499689,0.0,0.000198456
2021-01-12,16:40:43,2.020199966,7.011799622,69.21308136,96.80773926,64.74998474,64.9787674,1153.500854,67.59086609,275.5385742,68.61309052,0.995003128,0.00499689,0.0,0.000198456
2021-01-12,16:40:44,2.020700073,7.011100006,69.21205139,96.8052597,64.75048065,64.97776031,1153.529663,67.59037018,275.5403442,68.73052979,0.995003128,0.00499689,0.0,0.000198456
2021-01-12,16:40:45,2.020299911,7.010500336,69.21205139,96.80233765,64.75054932,64.97800446,1153.523193,67.59023285,275.5406799,68.73052979,0.995003128,0.00499689,0.0,0.000198456
2021-01-12,16:40:46,2.020100021,7.011000061,69.21205139,96.80039215,64.75037384,64.97766113,1153.532349,67.59013367,275.5404053,68.73052979,0.995003128,0.00499689,0.015401677,0.000198456
2021-01-12,16:40:47,2.020199966,7.009100342,69.21100616,96.79831696,64.74975586,64.97718048,1153.546265,67.58973694,275.5424194,68.73052979,0.995003128,0.00499689,0.015401677,0.000198456
2021-01-12,16:40:48,2.019599915,7.008399963,69.21100616,96.79667664,64.74999237,64.97727203,1153.543823,67.58964539,275.5426941,68.73052979,0.995003128,0.00499689,0.0,0.000198456
2021-01-12,16:40:49,2.019000053,7.00739975,69.21100616,96.79407501,64.74987793,64.97734833,1153.541138,67.58946228,275.5432739,77.383255,0.995003128,0.00499689,0.015389081,0.000198582
2021-01-12,16:40:50,2.018300056,7.006199646,69.21100616,96.79132843,64.75104523,64.97686005,1153.555176,67.58901978,275.5447693,77.383255,0.995003128,0.00499689,0.015389081,0.000198582
2021-01-12,16:40:51,2.018199921,7.005400085,69.21100616,96.78947449,64.74965668,64.97608948,1153.576416,67.58866882,275.5459595,77.383255,0.994999237,0.00500083,0.015309025,0.000198582
2021-01-12,16:40:52,2.017900085,7.004100037,69.2099762,96.78704071,64.74934387,64.97623444,1153.572388,67.58811951,275.54776,77.383255,0.994999237,0.00500083,0.015309025,0.000198582
2021-01-12,16:40:53,2.018400002,7.002899933,69.2099762,96.78598785,64.75097656,64.97608948,1153.576782,67.58839417,275.546936,77.383255,0.995009537,0.00499045,0.0,0.000198548
2021-01-12,16:40:54,2.018300056,7.002300262,69.2099762,96.78283691,64.75080872,64.97595215,1153.580322,67.58789825,275.5485535,77.57933044,0.995015488,0.00498449,0.0,0.000198548
2021-01-12,16:40:55,2.018600082,7.001499939,69.2099762,96.78076935,64.75253296,64.9749527,1153.608276,67.58803558,275.5481567,77.57933044,0.995015488,0.00498449,0.0,0.000198548
2021-01-12,16:40:56,2.018300056,7.000800323,69.2099762,96.77899933,64.75169373,64.97550201,1153.592896,67.58726501,275.5507507,77.57933044,0.995015488,0.00498449,0.0,0.000198548
