filename,fluid,is_mixture,x1,x2,TT101_mean/K,n_points,polynomial_degree,r2_score,mean_rel_abs_err_perc,std_rel_abs_err_perc,rms_rel_abs_err_perc,mean_unc_perc
Argon_180K_12MPa.csv,Argon,False,,,180.00036876666664,6,2,0.9996455361499991,3.3691074967334877,1.1982214169866918,3.575838347670569,0.09427710346532533
Argon_180K_5MPa.csv,Argon,False,,,180.000912475,4,2,0.9999774136476102,0.7268741378653139,0.4051587152410541,0.8321656066151886,0.19221330601175596
Helium-Neon_65K_10MPa.csv,Helium-Neon,True,0.310731163,0.689268837,65.14474304159998,5,2,0.9998802822310362,4.801921793712081,3.520746070753384,5.954335043281697,0.2572571915834565
Helium-Neon_65K_5MPa.csv,Helium-Neon,True,0.2154222796,0.7845777204,65.0528771976,5,2,0.9998004777954108,4.31637349736842,1.8090103410722698,4.680128051975811,0.2481614703814287
Helium-Neon_65K_7MPa.csv,Helium-Neon,True,0.29378022857142855,0.7062197714285714,65.044911412,7,2,0.9994920659008001,16.060820301533187,1.1880902586905884,16.10470450585592,0.2005204390977434
Helium-Neon_65K_8MPa.csv,Helium-Neon,True,0.46690840749999996,0.5330915925,64.99045562799999,4,2,0.9999689707296593,4.258251895917834,1.5685242188969775,4.537948593181087,0.6409974512112177
Helium-Neon_66K_10MPa.csv,Helium-Neon,True,0.4610250151,0.5389749849000001,65.70115776050001,4,2,0.9996580323476316,6.372852856495555,4.719736306925446,7.930268869178006,0.3046588947757284
Helium-Neon_80K_10MPa.csv,Helium-Neon,True,0.46694763175,0.53305236825,79.89993324299999,4,3,1.0,32.67246917508598,16.110086993852217,36.42835633056245,2.441070774253224
Helium-Neon_80K_7MPa.csv,Helium-Neon,True,0.4667267709333333,0.5332732290666666,79.99672393866666,3,1,0.999841071661144,8.978822205736867,0.0,8.978822205736867,0.7270235941459402
Helium-Neon_80K_8MPa.csv,Helium-Neon,True,0.3273973465,0.6726026535,80.43454704300001,4,2,0.99972941063402,5.536546031914951,3.479701786368287,6.539240512901161,0.38593680563039784
Helium_141K_10MPa.csv,Helium,False,,,140.64125595000002,4,2,0.9995816268921969,15.884678238527323,4.906711088792571,16.625246357585908,0.5752691851971167
Helium_65K_5MPa.csv,Helium,False,,,64.99611663900001,4,3,1.0,19.97371743501105,15.644663617143738,25.37133989105119,3.0643248932820892
Helium_65K_7MPa.csv,Helium,False,,,64.998806761,4,3,1.0,21.87037624788441,12.268328498744097,25.076388124630768,3.553336321204992
Nitrogen-Helium_140K_8MPa.csv,Nitrogen-Helium,True,0.49724162323333326,0.5027583767666668,140.00500794,6,2,0.9998754430755327,11.072565483289479,4.04529601845233,11.788389468398126,0.15791946430494339
Nitrogen-Helium_160K_5MPa.csv,Nitrogen-Helium,True,0.8551410926666666,0.1448589073333334,160.0024465,3,2,1.0,0.7266865699175097,0.0,0.7266865699175097,0.2540599344797661
Nitrogen-Helium_160K_8MPa.csv,Nitrogen-Helium,True,0.85459877308,0.14540122692000002,160.002196044,5,2,0.999911680286011,0.7646835511962388,0.31361568148371405,0.8264960551282657,0.1629955774554014
Nitrogen_150K_6MPa.csv,Nitrogen,False,,,149.80428314666668,6,3,0.9999911587670878,0.5599676031650336,0.3228778062872481,0.6463851749439017,0.19797844144948926
Nitrogen_160K_12MPa.csv,Nitrogen,False,,,159.9968116675,8,3,0.9997301602775069,2.1308177268980355,1.0331976980084354,2.368096634099386,0.15395582803259866
Nitrogen_160K_5MPa.csv,Nitrogen,False,,,160.000138865,4,2,0.9999890392074808,1.026690869533573,0.1209915731050159,1.033795483810038,0.19101821388897533
Nitrogen_160K_6MPa.csv,Nitrogen,False,,,160.00136901599998,5,2,0.9998488806410224,1.3607270460069483,0.23662397745721467,1.3811477113047932,0.23491990809342592
Nitrogen_160K_7MPa.csv,Nitrogen,False,,,160.000841515,4,2,0.9999707548773061,2.424717307802587,0.30785433239773785,2.444182544887653,0.16078384839414428
Nitrogen_160K_9MPa.csv,Nitrogen,False,,,159.99308297428573,7,3,0.9999467836168355,0.640783580278449,0.31510584076528925,0.7140695257738334,0.17735332528771366
