filename,fluid,is_mixture,x1,x2,TT101_mean/K,n_points,polynomial_degree,r2_score,mean_rel_abs_err_perc,std_rel_abs_err_perc,rms_rel_abs_err_perc,mean_unc_perc
Argon_180K_12MPa.csv,Argon,False,,,180.00036876666664,6,2,0.9996455361499991,5.780811785556042,3.5941118673484778,6.807012928960749,0.14534375249779316
Argon_180K_5MPa.csv,Argon,False,,,180.000912475,4,2,0.9999774136476102,2.1108085817618565,2.0171539398136273,2.9196614334105826,0.32197366291890683
Helium-Neon_65K_10MPa.csv,Helium-Neon,True,0.310731163,0.689268837,65.14474304159998,5,2,0.9998802822310363,6.896253383829979,4.894461561741836,8.456598885684171,0.3453934231819472
Helium-Neon_65K_5MPa.csv,Helium-Neon,True,0.2154222796,0.7845777204,65.0528771976,5,2,0.9998004777954108,4.580711922418553,3.2375424729342455,5.6093317766237245,0.371308215439234
Helium-Neon_65K_7MPa.csv,Helium-Neon,True,0.29378022857142855,0.7062197714285714,65.044911412,7,2,0.9994920659007999,17.990789296962014,2.4237232420578896,18.15331743461163,0.26515038892782855
Helium-Neon_65K_8MPa.csv,Helium-Neon,True,0.46690840749999996,0.5330915925,64.99045562799999,4,2,0.9999689707296593,3.989158745774599,2.8585747667907655,4.907630507314385,1.065426987380088
Helium-Neon_66K_10MPa.csv,Helium-Neon,True,0.4610250151,0.5389749849000001,65.70115776050001,4,2,0.9996580323476317,8.824284031905005,5.39194138526401,10.341229161848045,0.5543126043307344
Helium-Neon_80K_10MPa.csv,Helium-Neon,True,0.46694763175,0.53305236825,79.89993324299999,4,3,1.0,42.220475561003724,36.278985526059664,55.66626758996295,3.2822171201973065
Helium-Neon_80K_5MPa.csv,Helium-Neon,True,0.4668960285,0.5331039715,80.0045562745,4,3,1.0,64.1561522700912,67.40324712739977,93.05487411963144,2.5770015210056805
Helium-Neon_80K_7MPa.csv,Helium-Neon,True,0.4667267709333333,0.5332732290666666,79.99672393866666,3,1,0.9998410716611441,9.406455490218963,5.815217871058799,11.058850020565073,0.7542785999356679
Helium-Neon_80K_8MPa.csv,Helium-Neon,True,0.3273973465,0.6726026535,80.43454704300001,4,2,0.9997294106340195,8.475940922155242,4.803289805358467,9.742338911684733,0.5755294761702342
Helium_141K_10MPa.csv,Helium,False,,,140.64125595000002,4,2,0.9995816268921967,14.946059903451307,8.935928174054606,17.413658977062166,0.8674895379149955
Helium_65K_5MPa.csv,Helium,False,,,64.99611663900001,4,3,1.0,45.536515294073574,42.12309979349406,62.031683528178206,15.164451148002925
Helium_65K_7MPa.csv,Helium,False,,,64.998806761,4,3,1.0,83.83295937193762,72.6699983197502,110.94545386292059,32.51035087491634
Nitrogen-Helium_140K_8MPa.csv,Nitrogen-Helium,True,0.49724162323333326,0.5027583767666668,140.00500794,6,2,0.9998754430755327,12.107430430263149,6.961156325226009,13.965943183612634,0.2025650828086449
Nitrogen-Helium_160K_5MPa.csv,Nitrogen-Helium,True,0.8551410926666666,0.1448589073333334,160.0024465,3,2,1.0,1.29522695295728,0.9246819222827749,1.5914300226725548,0.47654249746275124
Nitrogen-Helium_160K_8MPa.csv,Nitrogen-Helium,True,0.85459877308,0.14540122692000002,160.002196044,5,2,0.9999116802860109,1.9403568452349664,1.8079290735848648,2.6520920462841437,0.23203579884510347
Nitrogen_150K_6MPa.csv,Nitrogen,False,,,149.80428314666668,6,3,0.9999911587670878,1.4137543237302388,1.35054089857554,1.9551629104990642,0.34414518362863933
Nitrogen_160K_12MPa.csv,Nitrogen,False,,,159.9968116675,8,3,0.9997301602775068,4.382437098225466,4.026487118864814,5.951332072594094,0.23078782784759505
Nitrogen_160K_5MPa.csv,Nitrogen,False,,,160.000138865,4,2,0.9999890392074808,1.8843183172777531,1.1168966488227343,2.1904596880517837,0.324923925399361
Nitrogen_160K_6MPa.csv,Nitrogen,False,,,160.00136901599998,5,2,0.9998488806410224,2.1498698119643604,1.4444403720645755,2.5900479140057864,0.3321370570051561
Nitrogen_160K_7MPa.csv,Nitrogen,False,,,160.000841515,4,2,0.9999707548773061,3.5438540650468506,1.6044658393125413,3.8901429618807053,0.2573494235486947
Nitrogen_160K_9MPa.csv,Nitrogen,False,,,159.99308297428573,7,3,0.9999467836168354,2.3794889739177134,2.8283082891210634,3.6961189855450933,0.28539935766082
