pressure_MPa,temperature_K,pressure_uncertainty_MPa,temperature_uncertainty_K,jt_measured_K_per_MPa,jt_theoretical_K_per_MPa,jt_uncertainty_K_per_MPa,relative_abs_error_percent
5.996460036999999,153.37603452,2.145891535578908e-05,0.0002032539645266,3.7388164006130493,4.036027519268373,0.00032436809437143613,7.363951738099157
5.059160003400001,149.31789858000002,9.440703823997864e-05,0.0001492626502596,4.5260681442372235,4.607548570593419,0.00020818976214822312,1.7684116642030665
2.9919400028000003,138.39094546,6.561847657808655e-05,0.0001202274979044,6.262355876647177,6.143204654342009,0.00011393626458910426,1.9395613366217999
1.9435400008,131.424881,6.559382109818613e-05,0.0001640281878999,7.14292207743995,7.060498527795028,0.00023104252284545602,1.1673899416655293
0.9939799882,124.14740904,3.279252984522236e-05,0.0001388597425214,7.940471153293459,7.952729339864676,0.00034982699056586324,0.1541381084072571
